23 8   -384.967 -19.8177 0.770953
24 8   -1943.35 254.722 3.91995
25 8   82.5794 -12.3598 0.166998
26 8   -337.06 -90.015 0.697745
27 8   128.683 -294.277 0.642364
28 8   -13.4425 241.301 0.48335
29 8   -50.2572 122.334 0.26451
30 8   302.983 -692.222 1.51125
31 8   -282.009 136.784 0.626862
32 8   -247.595 260.62 0.71896
33 8   -74.8799 29.8937 0.161253
34 8   12.973 -22.9173 0.0526688
35 8   -408.155 385.696 1.12312
36 8   -226.397 -24.2432 0.455383
37 8   -391.618 270.411 0.951812
38 8   -124.352 -147.093 0.385226
39 8   101.285 -376.442 0.779659
40 8   -195.22 -76.3236 0.419218
41 8   53.9696 -181.7 0.379091
42 8   112.724 194.418 0.449467
43 8   -156.956 -42.5016 0.325216
44 8   17.192 -142.461 0.286988
45 8   -271.728 -101.296 0.579989
46 8   431.225 237.268 0.984379
47 8   901.528 -915.411 2.56961
48 8   3071.26 1160.75 6.56658
49 8   -203.078 -254.262 0.650814
50 8   -43.48 166.601 0.344362
1 9   -33.5782 -110.579 0.231129
2 9   -280.486 -119.435 0.609712
3 9   -452.144 -498.416 1.34589
4 9   -49.9957 23.0239 0.110085
5 9   -97.9389 141.963 0.344938
6 9   -36.17 -59.3106 0.138939
7 9   -349.414 -273.102 0.886959
8 9   2.34226 -73.3104 0.146696
9 9   176.01 111.384 0.416586
10 9   79.7554 274.601 0.571897
11 9   -508.99 207.421 1.09926
12 9   -54.3332 -677.971 1.36029
13 9   -132.625 3.82889 0.26536
14 9   545.23 116.288 1.11499
15 9   -115.504 553.222 1.1303
16 9   -227.525 300.803 0.75432
17 9   -168.61 18.0434 0.339145
18 9   -104.544 4.39172 0.209272
19 9   -346.477 211.707 0.812074
20 9   10.6241 581.716 1.16363
21 9   -168.418 -88.7768 0.380768
22 9   242.386 64.8153 0.501806
23 9   -19.6275 55.3722 0.117496
24 9   33.7714 -257.388 0.519189
25 9   -115.197 188.95 0.442595
26 9   -330.875 53.6999 0.670409
27 9   -783.793 -286.406 1.66896
28 9   581.934 595.701 1.66554
29 9   -137.982 119.975 0.365694
30 9   -26.2186 191.114 0.385808
31 9   -378.396 -78.4228 0.772875
32 9   231.508 171.066 0.575706
33 9   -634.56 -546.182 1.67449
34 9   76.9355 17.5987 0.157845
35 9   216.083 34.7277 0.437712
36 9   28.6308 58.6192 0.130475
37 9   19.6807 -548.639 1.09798
38 9   226.983 44.6369 0.462661
39 9   -93.948 -367.642 0.758912
40 9   263.682 120.807 0.580079
41 9   -962.369 4160.34 8.5404
42 9   -1175.88 282.697 2.41878
43 9   215.251 117.721 0.490678
44 9   -95.874 129.496 0.322249
45 9   -86.8283 -284.427 0.594771
46 9   -512.924 -371 1.26607
47 9   254.024 172.616 0.614245
48 9   -53.7896 -0.749473 0.10759
49 9   445.68 -70.2856 0.902377
50 9   153.766 97.2906 0.36392
1 10   105.385 -156.955 0.378105
2 10   3322.95 322.053 6.67703
3 10   -177.955 163.932 0.483907
4 10   282.421 -41.2667 0.57084
5 10   -3077.68 3440.41 9.23224
6 10   494.519 24.539 0.990255
7 10   -74.0058 -22.4936 0.154697
8 10   -5816.75 -2079.18 12.3544
9 10   -124.729 444.123 0.922611
10 10   -35.9904 -58.7114 0.137729
11 10   496.114 61.608 0.999849
12 10   -78.6359 124.907 0.295197
13 10   -53.7842 -58.7822 0.15935
14 10   23.046 -238.537 0.479295
15 10   -184.652 48.1512 0.381653
16 10   16.7615 760.674 1.52172
17 10   -170.491 -408.837 0.885923
18 10   -90.579 -63.7384 0.221514
19 10   -54.3263 16.408 0.1135
20 10   -85.2246 200.414 0.435563
21 10   280.641 -27.0582 0.563884
22 10   -1415.44 370.258 2.92613
23 10   2069.47 316.317 4.18702
24 10   244.15 -14.2419 0.489131
25 10   -134.162 -283.252 0.626836
26 10   113.029 70.0295 0.26593
27 10   134.317 229.337 0.53155
28 10   -98.5434 -21.6223 0.201775
29 10   252.067 224.592 0.675217
30 10   296.328 -242.802 0.766194
31 10   330.806 -311.317 0.908518
32 10   46.8566 -22.6866 0.10412
33 10   332.446 -287.328 0.878812
34 10   478.226 196.606 1.03413
35 10   144.024 -13.3841 0.289289
36 10   -11.6684 215.794 0.432219
37 10   -94.8311 -84.1507 0.253569
38 10   286.544 -245.205 0.754275
39 10   10.2777 49.9735 0.102039
40 10   -418.122 -66.9323 0.84689
41 10   14.5067 113.513 0.228872
42 10   223.05 175.079 0.567112
43 10   -1595.96 212.768 3.22016
44 10   52.9928 -91.7174 0.211852
45 10   -9.00252 -51.6263 0.104811
46 10   455.562 -38.0593 0.914297
47 10   -0.908359 480.266 0.960534
48 10   -25567.5 12220.4 56.6758
49 10   122.672 -717.618 1.45605
50 10   244.551 17.3382 0.49033
1 11   221.838 -559.945 1.20458
2 11   60.7873 74.9789 0.193049
3 11   78.5178 103.404 0.259673
4 11   264.851 205.982 0.671043
5 11   281.825 -730.308 1.5656
6 11   -259.184 -53.198 0.529175
7 11   155.117 50.8361 0.326469
8 11   -306.456 229.166 0.76533
9 11   107.981 56.9803 0.244185
10 11   -81.7797 -60.1045 0.202982
11 11   -233.704 -79.4793 0.493699
12 11   946.69 -506.152 2.14701
13 11   400.837 -212.279 0.907156
14 11   -58.0359 195.839 0.408514
15 11   161.662 -590.189 1.22386
16 11   -101.116 46.1813 0.222326
17 11   -293.181 157.99 0.666081
18 11   992.905 -1657.09 3.86358
19 11   150.502 -264.377 0.608427
20 11   114.579 163.297 0.398971
21 11   -16.6256 -118.292 0.23891
22 11   -219.275 124.803 0.504608
23 11   -742.706 4.57377 1.48544
24 11   128.862 -39.4484 0.269529
25 11   -88.0084 -23.6556 0.182264
26 11   -277.366 -412.177 0.993623
27 11   159.786 -47.7512 0.333537
28 11   220.202 155.796 0.539486
29 11   665.799 108.921 1.3493
30 11   57.8662 -65.467 0.17475
31 11   -65.7493 -375.976 0.763363
32 11   -190.645 -36.7134 0.388296
33 11   -79.1538 -319.617 0.658545
34 11   -212.519 -32.7527 0.430055
35 11   -8.29598 -225.087 0.45048
36 11   -3443.5 -4649.61 11.5718
37 11   -471.616 149.259 0.989343
38 11   -261.22 -16.1336 0.523436
39 11   225.634 -5.18874 0.451386
40 11   359.773 145.31 0.77602
41 11   142.593 -335.457 0.72901
42 11   306.316 1167.3 2.41364
43 11   107.668 -317.237 0.67002
44 11   193.59 -531.892 1.13205
45 11   -27.7853 20.6004 0.069178
46 11   6.69886 210.959 0.422131
47 11   -186.268 326.728 0.752189
48 11   187.32 80.6217 0.407866
49 11   -274.307 344.377 0.880546
50 11   21.6153 -28.0849 0.0708797
1 12   -188.46 -61.5038 0.396484
2 12   53.6839 -258.29 0.527621
3 12   27.8729 17.3374 0.0656501
4 12   59.4248 -36.8107 0.139805
5 12   -293.775 133.221 0.645141
6 12   -27.543 116.851 0.240107
7 12   -300.578 390.963 0.986304
8 12   77.2977 -161.246 0.357633
9 12   577.724 -949.493 2.22288
10 12   -317.756 -297.997 0.871255
11 12   97.7675 9.8822 0.196531
12 12   96.104 -163.193 0.378776
13 12   1843.61 -3005.62 7.05199
14 12   -55.4625 95.9032 0.221572
15 12   1440.85 870.774 3.36707
16 12   157.063 93.0664 0.365132
17 12   202.703 72.7044 0.430694
18 12   -154.704 31.6018 0.315798
19 12   22.1889 -87.5674 0.18067
20 12   184.854 -136.006 0.458993
21 12   -655.114 1716.86 3.67521
22 12   -500.454 12.3477 1.00121
23 12   -25.0947 -159.577 0.323075
24 12   -97.3052 88.8138 0.263486
25 12   -55.0354 -14.6124 0.113885
26 12   -53.9094 265.885 0.54259
27 12   111.349 -212.804 0.480351
28 12   264.437 -117.803 0.57898
29 12   -75.6574 113.308 0.27249
30 12   48.7005 -50.0776 0.139707
31 12   -181.281 178.898 0.50938
32 12   -123.825 187.636 0.449622
33 12   698.644 -110.085 1.41453
34 12   4155.72 979.944 8.53939
35 12   128.336 58.2646 0.281886
36 12   167.893 -193.522 0.512401
37 12   69.8604 3.9181 0.13994
38 12   576.973 229.067 1.24156
39 12   76.9989 95.7242 0.245699
40 12   401.984 -728.57 1.66422
41 12   -146.319 -71.3698 0.325595
42 12   -1006.01 431.265 2.18911
43 12   642.686 -261.258 1.38752
44 12   -805.348 377.026 1.77846
45 12   93.5322 -97.517 0.270243
46 12   -0.419553 140.963 0.281928
47 12   -184.114 -247.07 0.616251
48 12   185.543 77.4222 0.402096
49 12   130.572 173.79 0.434751
50 12   259.054 -50.4382 0.527836
1 13   101.15 -286.223 0.607141
2 13   -194.117 169.383 0.515254
3 13   -190.952 401.588 0.88935
4 13   258.473 -403.807 0.958892
5 13   -95.7057 82.4564 0.252655
6 13   1753.07 -858.24 3.90376
