42 5   -39.2742 195.545 0.3989
43 5   32.5965 -116.141 0.241258
44 5   39.0817 -322 0.648726
45 5   263.096 63.623 0.541358
46 5   99.5526 125.007 0.319609
47 5   149.813 -466.983 0.98085
48 5   -103.038 -58.1632 0.236641
49 5   -176.837 121.564 0.429182
50 5   309.044 -560.924 1.28085
1 6   -217.836 -153.041 0.532444
2 6   -217.845 1919.97 3.86458
3 6   -11.7882 32.7399 0.0695949
4 6   216.438 -251.179 0.663134
5 6   189.886 -214.475 0.572909
6 6   134.489 16.2761 0.270941
7 6   -170.598 -69.0638 0.368096
8 6   -273.025 192.154 0.66773
9 6   -10.5037 52.9047 0.107875
10 6   -175.343 -165.037 0.481591
11 6   28.6124 -69.1388 0.149651
12 6   574.311 6.5527 1.1487
13 6   325.493 396.008 1.02522
14 6   -85.7573 53.4426 0.202093
15 6   286.614 -88.8648 0.600149
16 6   -308.026 -665.531 1.46671
17 6   753.056 -424.654 1.72907
18 6   966.519 765.747 2.46619
19 6   162.793 20.9049 0.328259
20 6   -309.83 234.386 0.776998
21 6   28.8615 -151.399 0.308251
22 6   -190.688 -338.349 0.776768
23 6   -50.6504 -85.1578 0.198165
24 6   -65.9799 21.5025 0.138791
25 6   97.2454 -38.1647 0.208933
26 6   2072.53 -1055.08 4.65126
27 6   -219.598 477.701 1.05152
28 6   12.1413 55.9433 0.114491
29 6   231.084 3.94969 0.462236
30 6   -84.8756 -71.7159 0.222235
31 6   24.4825 16.3635 0.0588951
32 6   120.642 -12.2015 0.242516
33 6   332.28 181.489 0.757228
34 6   -330.722 -65.6217 0.674339
35 6   -1403.16 68.5164 2.80966
36 6   -996.135 -355.443 2.1153
37 6   100.99 -231.975 0.50601
38 6   643.869 655.14 1.83715
39 6   413.077 -2710.8 5.48419
40 6   -67.375 25.6986 0.144219
41 6   54.6924 37.6372 0.132783
42 6   -477.714 -541.468 1.44416
43 6   -5.37237 -23.6649 0.048534
44 6   133.596 90.5603 0.322794
45 6   155.185 16.8106 0.312186
46 6   -235.319 122.505 0.530594
47 6   278.769 302.406 0.822585
48 6   -40.1008 -114.839 0.243278
49 6   339.703 -500.246 1.20937
50 6   157.377 46.2729 0.328077
1 7   34.0487 222.862 0.450896
2 7   -166.357 -321.561 0.724089
3 7   173.789 -96.7676 0.397826
4 7   244.786 -198.399 0.630183
5 7   82.8805 112.334 0.2792
6 7   -69.5044 -125.723 0.287313
7 7   -60.6338 39.5724 0.144809
8 7   -100.053 -124.222 0.319008
9 7   -2470.1 583.402 5.07612
10 7   312.083 -83.6912 0.646219
11 7   219.092 -196.725 0.588904
12 7   162.118 -71.7521 0.354573
13 7   4635.7 5058.24 13.7223
14 7   -85.3521 491.183 0.997088
15 7   -61.4137 -313.708 0.639326
16 7   458.646 210.077 1.00894
17 7   63.065 66.511 0.183313
18 7   11.5679 173.999 0.348766
19 7   -126.251 99.5555 0.321562
20 7   -570.806 180.469 1.19731
21 7   32.152 -109.034 0.227352
22 7   -400.244 39.3771 0.804352
23 7   67.0256 168.219 0.36216
24 7   90.7936 -220.875 0.477616
25 7   -189.869 483.964 1.03975
26 7   1950.65 1190.85 4.57085
27 7   173.499 -127.552 0.430681
28 7   116.696 -2.97308 0.233469
29 7   -203.177 22.5797 0.408856
30 7   -272.532 -529.681 1.19136
31 7   178 -268.806 0.644797
32 7   547.432 351.005 1.30059
33 7   -155.629 381.304 0.823683
34 7   146.267 52.2125 0.310613
35 7   -81.5342 110.402 0.274492
36 7   67.3201 -64.8739 0.186983
37 7   105.231 -60.2991 0.242566
38 7   -410.594 282.584 0.996877
39 7   57.1715 -4.78967 0.114744
40 7   -285.739 -110.16 0.612478
41 7   -101.67 71.4559 0.248537
42 7   85.2829 -1.63906 0.170597
43 7   -163.867 366.191 0.802367
