28 5   -672.381 -2006.85 4.23298
29 5   168.769 -341.345 0.761575
30 5   -129.682 118.026 0.350699
31 5   231.19 219.68 0.637833
32 5   -6.83044 143.278 0.286881
33 5   -114.919 -130.318 0.347501
34 5   -15.3582 174.367 0.350083
35 5   15.8762 14.7647 0.0433614
36 5   -84.7586 -354.992 0.729941
37 5   -27.504 -4.63357 0.0557831
38 5   268.667 387.827 0.943593
39 5   210.805 -395.801 0.896877
40 5   90.957 -45.5968 0.203492
41 5   -224.446 9.22422 0.449271
42 5   -145.708 199.917 0.494763
43 5   -26.2442 174.7 0.35332
44 5   136.652 -193.209 0.473301
45 5   -204.43 -86.7399 0.444142
46 5   253.11 -112.814 0.554226
47 5   -67.5088 -169.89 0.365623
48 5   99.7314 -176.669 0.40575
49 5   -54.0772 -360.149 0.728372
50 5   -48.0831 618.187 1.24011
1 6   16.3805 59.5334 0.123492
2 6   45.7184 0.349711 0.0914395
3 6   -149.833 -121.497 0.385805
4 6   -34.1388 -184.34 0.374948
5 6   -79.6432 -10.5751 0.160685
6 6   275.031 104.762 0.588616
7 6   26.7405 -11.2257 0.0580025
8 6   -137.087 -129.308 0.376899
9 6   39.7498 -73.8526 0.167741
10 6   -292.872 -122.397 0.634839
11 6   112.932 -36.9449 0.237643
12 6   -152.758 124.696 0.394381
13 6   -166.824 -464.088 0.986322
14 6   -115.629 -77.3754 0.278258
15 6   150.474 -102.183 0.363778
16 6   -630.115 -479.792 1.58398
17 6   34.2759 280.044 0.564267
18 6   23.1567 190.247 0.383301
19 6   152.864 -28.5389 0.31101
20 6   95.4711 81.9639 0.251657
21 6   -79.1468 164.532 0.365157
22 6   141.668 88.6755 0.334265
23 6   85.4356 64.2916 0.213847
24 6   54.1966 -44.4952 0.140244
25 6   -1635.87 -1706.18 4.72741
26 6   589.221 -373.794 1.39557
27 6   6.75541 -83.5694 0.167684
28 6   76.7936 -157.375 0.350223
29 6   -140.84 93.9534 0.338604
30 6   -77.0152 -38.4623 0.172171
31 6   25.8012 -612.428 1.22594
32 6   -177.308 -44.6402 0.365681
33 6   98.3823 308.476 0.64757
34 6   -42.1805 66.3422 0.157232
35 6   284.438 67.2765 0.584572
36 6   31.2999 -191.82 0.388714
37 6   208.148 -14.8581 0.417356
38 6   57.1737 -373.866 0.756425
39 6   -2.99919 -22.7321 0.0458583
40 6   -111.633 -142.454 0.361966
41 6   231.578 -102.637 0.506607
42 6   110.59 -480.795 0.9867
43 6   289.902 256.267 0.773863
44 6   -76.8775 136.402 0.31315
45 6   -175.833 38.9398 0.360186
46 6   314.071 197.73 0.742262
47 6   -197.439 7.6628 0.395175
48 6   -27.5922 -236.8 0.476804
49 6   0.459993 -114.97 0.229942
50 6   -78.6416 -118.617 0.284636
1 7   -200.806 -294.931 0.713603
2 7   -111.079 -29.1316 0.229671
3 7   -177.836 -37.5872 0.36353
4 7   -156.236 64.7311 0.338229
5 7   1138.58 -396.501 2.41129
6 7   376.34 44.3404 0.757885
7 7   -422.022 -461.036 1.25005
8 7   -114.122 -73.8051 0.271817
9 7   -30.9214 138.75 0.284308
10 7   -67.6524 -15.0943 0.138632
11 7   137.648 -93.938 0.333294
12 7   243.142 -170.962 0.59446
13 7   -117.033 114.46 0.327401
14 7   -414.26 -241.296 0.958823
15 7   21.4249 -86.449 0.178129
16 7   -105.224 -163.859 0.389471
17 7   -194.252 8.30482 0.388859
18 7   503.823 -61.2185 1.01506
19 7   -3374.01 3064.02 9.11529
20 7   -276.168 -299.166 0.814295
21 7   137.816 -264.669 0.596801
22 7   106.044 -51.181 0.235497
23 7   -93.1295 -325.305 0.676747
24 7   -312.914 131.049 0.678496
25 7   249.326 -255.215 0.713577
26 7   -77.0455 -39.977 0.173599
27 7   61.2621 -103.502 0.240547
28 7   290.536 137.588 0.642935
29 7   -257.917 56.081 0.527888
30 7   400.733 -90.38 0.821596
31 7   -0.094809 212.232 0.424463
32 7   -169.455 -108.429 0.402353
33 7   -359.771 -162.3 0.78937
34 7   -190.276 37.5787 0.387903
35 7   -434.284 104.051 0.89315
36 7   -129.17 -436.384 0.9102
37 7   1258.21 -508.752 2.71434
38 7   -70.8788 749.008 1.50471
39 7   1039.84 621.882 2.42323
40 7   -182.353 141.348 0.461441
41 7   -573.823 -592.678 1.6499
42 7   -99.0929 159.038 0.374767
43 7   -31.982 -87.1189 0.185608
44 7   -185.708 38.8437 0.379454
45 7   -29.9647 43.9542 0.106393
46 7   38.8651 119.946 0.252171
