7 7   -294.687 -238.928 0.758754
8 7   -284.95 -94.3463 0.600325
9 7   3.34641 11.8046 0.0245396
10 7   -185.809 -127.13 0.450276
11 7   -287.313 -126.307 0.627701
12 7   180.017 255.157 0.624536
13 7   269.88 -28.6045 0.542782
14 7   -363.754 -209.987 0.840028
15 7   -40.896 -70.43 0.162885
16 7   -65.157 127.452 0.286283
17 7   42.292 -139.642 0.291811
18 7   -94.8634 -189.735 0.424257
19 7   -857.262 148.814 1.74017
20 7   40.7691 523.486 1.05014
21 7   1390.08 2480.29 5.68652
22 7   31.2071 -54.6068 0.12579
23 7   56.2979 59.4951 0.163819
24 7   175.728 10.6775 0.352105
25 7   -3261.92 -5395.04 12.609
26 7   180.022 -407.972 0.891849
27 7   -222.381 -175.01 0.565975
28 7   -154.895 546.821 1.13667
29 7   39.6018 160.082 0.329814
30 7   -87.7341 -204.478 0.445011
31 7   -17.0577 35.7811 0.0792779
32 7   73.5761 -41.4476 0.168895
33 7   -162.439 13.7839 0.326045
34 7   -385.283 125.678 0.810526
35 7   -265.423 -73.2719 0.550702
36 7   -153.483 -913.916 1.85343
37 7   194.393 748.369 1.54641
38 7   -38.4514 136.84 0.284279
39 7   123.234 -114.121 0.335918
40 7   -64.7927 518.417 1.0449
41 7   -72.7964 -543.892 1.09748
42 7   48.5271 369.859 0.746057
43 7   -77.6866 8.28626 0.156255
44 7   -290.54 84.2258 0.605005
45 7   -10.9778 50.7894 0.103925
46 7   180.81 267.5 0.645751
47 7   35.2903 -68.5872 0.154267
48 7   324.718 176.764 0.739426
49 7   46.7442 -16.0019 0.0988146
50 7   -442.515 -334.798 1.10979
1 8   -167.769 429.207 0.921661
2 8   -125.825 37.5285 0.262604
3 8   -67.2861 75.4692 0.202218
4 8   -275.667 -83.6074 0.576134
5 8   -108.533 -32.2659 0.226455
6 8   -1920.92 -808.896 4.16858
7 8   198.974 -295.603 0.712662
8 8   474.576 272.605 1.0946
9 8   -112.513 -91.3939 0.289911
10 8   -665.979 1041.11 2.4718
11 8   247.754 -217.074 0.658796
12 8   86.0423 -26.8755 0.180284
13 8   -151.4 -99.5764 0.362422
14 8   -135.591 19.8574 0.274075
15 8   -16.7166 -230.65 0.462511
16 8   97.565 118.676 0.307265
17 8   71.4824 -173.968 0.376162
18 8   -271.733 -149.756 0.620535
19 8   -1507.7 -1476.97 4.22119
20 8   -32.5269 34.9823 0.0955355
21 8   234.226 85.0411 0.498372
22 8   29.0522 41.9927 0.102126
23 8   -6.02021 -197.918 0.39602
24 8   -316.828 -8.62271 0.63389
25 8   -92.0844 11.3813 0.18557
26 8   111.519 72.2474 0.265754
27 8   293.86 -444.937 1.06644
28 8   -43.0789 -65.4019 0.15663
29 8   211.226 -538.808 1.15746
30 8   41.0937 -6.31315 0.0831516
31 8   -143.654 31.1978 0.294005
32 8   350.183 200.313 0.806854
33 8   -1093.04 -265.979 2.24988
34 8   307.299 -184.382 0.71674
35 8   75.739 -200.03 0.427778
36 8   522.717 261.797 1.16922
37 8   159.61 391.66 0.845868
38 8   11.6499 365.554 0.73148
39 8   -39.1346 9.42944 0.0805092
40 8   169.222 -119.845 0.414724
41 8   -195.508 71.6092 0.416418
42 8   176.269 255.326 0.620523
43 8   1896.56 476.092 3.91081
44 8   193.874 54.918 0.403004
45 8   169.797 35.0492 0.346753
46 8   585.9 -20.2611 1.1725
47 8   15.13 104.697 0.211569
48 8   -43.0788 -22.9053 0.0975794
49 8   -0.977293 -15.4513 0.0309644
50 8   -242.163 285.112 0.74815
1 9   -53.8327 -35.2094 0.128649
2 9   -864.063 892.261 2.48414
3 9   -359.233 -302.069 0.938709
4 9   89.4101 -92.8742 0.257836
5 9   338.835 158.267 0.747952
6 9   -208.986 -81.7316 0.448799
7 9   -23143.8 -252.898 46.2903
8 9   203.393 86.0255 0.441675
9 9   215.956 261.476 0.678253
10 9   246.317 -255.567 0.709892
11 9   20.6667 224.541 0.450981
12 9   284.76 96.254 0.601177
13 9   302.417 -13.895 0.605472
14 9   187.023 -141.53 0.469078
15 9   -129.059 -276.633 0.610515
16 9   512.776 247.039 1.13836
17 9   70.5063 343.239 0.700811
18 9   48.2668 -87.639 0.200103
19 9   212.533 -133.368 0.501825
20 9   37.585 291.399 0.587625
21 9   -17.0949 357.875 0.716566
22 9   98.3921 -234.603 0.508801
23 9   108.098 -81.6031 0.270882
24 9   48.3791 -99.391 0.22108
25 9   -10.9552 -61.5264 0.124988
26 9   50.4295 -155.372 0.326703
27 9   27.031 -125.043 0.255862
28 9   50.6971 -138.318 0.294632
29 9   -1113.63 -126.276 2.24154
30 9   -301.015 -19.1101 0.603242
31 9   -92.3567 188.883 0.420506
32 9   -159.173 438.32 0.932653
33 9   5.65582 -267.613 0.535345
34 9   -63.893 -101.496 0.239865
35 9   -1465.9 -990.446 3.53828
36 9   36.7055 -109.864 0.231667
37 9   365.86 126.514 0.774235
38 9   -80.3167 94.5504 0.248117
39 9   26.2496 -174.962 0.35384
40 9   -1577.47 -378.568 3.24452
41 9   -108.794 -90.6886 0.283271
42 9   -29.4446 85.7703 0.181367
43 9   -174.741 19.0847 0.35156
44 9   -39.0383 -62.1548 0.146795
45 9   75.3258 368.805 0.752837
46 9   18.5088 492.174 0.985043
47 9   763.199 25.2029 1.52723
48 9   108.426 107.876 0.305897
49 9   -256.237 -51.846 0.52286
50 9   -100.611 513.016 1.04558
1 10   84.3388 116.027 0.286882
2 10   415.758 -88.58 0.850178
3 10   -6025.93 2078.2 12.7484
4 10   -74.1337 -229.253 0.481883
5 10   81.4216 -23.2891 0.169374
6 10   249.563 338.74 0.841489
7 10   -412.125 133.777 0.866587
8 10   -114.856 -23.4275 0.234441
9 10   134.947 -265.913 0.596391
10 10   69.1178 -16.2431 0.142002
11 10   -472.323 317.243 1.13795
12 10   601.843 -437.827 1.4885
13 10   -179.903 -259.809 0.63203
14 10   -380.576 176.607 0.839114
15 10   232.91 156.288 0.560974
16 10   -344.483 -132.28 0.738015
17 10   60.1098 101.734 0.23633
18 10   -77.4512 -246.185 0.516162
19 10   -35.4276 -34.8639 0.0994104
20 10   -174.681 97.194 0.3998
21 10   -68.7094 121.665 0.279451
22 10   -285.009 202.333 0.699054
23 10   -21.3437 -55.9642 0.119792
24 10   604.349 -463.499 1.52325
25 10   -48.9446 274.34 0.557344
26 10   15.85 95.6896 0.193987
27 10   14.5977 94.8638 0.191961
28 10   -114.722 -137.632 0.35835
29 10   139.686 258.876 0.588317
30 10   120.627 -247.112 0.549964
31 10   59.0635 360.661 0.730931
32 10   317.663 -306.261 0.882509
33 10   -93.1871 -107.504 0.284541
34 10   -14.6202 513.542 1.0275
35 10   -2996.71 2548.69 7.86794
36 10   158.195 -11.4348 0.317216
37 10   109.436 78.6805 0.269569
38 10   150.953 -7.50176 0.302278
