8 9   -0.206923 0.0828045 0.000445752
9 9   -0.230582 0.0913872 0.000496062
10 9   -0.27822 0.0980782 0.000590002
11 9   -0.305212 0.102813 0.000644128
12 9   -0.350865 0.105611 0.000732831
13 9   -0.379821 0.106487 0.000788932
14 9   -0.421454 0.105515 0.000868923
15 9   -0.451061 0.102779 0.000925245
16 9   -0.486797 0.0983804 0.000993278
17 9   -0.515759 0.0924375 0.00104795
18 9   -0.543989 0.0850739 0.0011012
19 9   -0.57114 0.0764208 0.00115246
20 9   -0.590518 0.0666152 0.00118853
21 9   -0.614827 0.0558022 0.00123471
22 9   -0.624335 0.0441324 0.00125179
23 9   -0.64495 0.0317594 0.00129146
24 9   -0.643892 0.0188483 0.00128833
25 9   -0.660176 0.00556418 0.0013204
26 9   -0.648205 -0.0079121 0.00129651
27 9   -0.659766 -0.0214054 0.00132023
28 9   -0.636895 -0.0347193 0.00127568
29 9   -0.643624 -0.0476683 0.00129077
30 9   -0.610229 -0.0600443 0.00122635
31 9   -0.612328 -0.0716575 0.00123301
32 9   -0.569161 -0.082295 0.00115016
33 9   -0.567163 -0.0917698 0.00114908
34 9   -0.515334 -0.0998759 0.00104985
35 9   -0.510109 -0.106446 0.00104219
36 9   -0.451087 -0.111297 0.000929228
37 9   -0.443804 -0.114293 0.000916569
38 9   -0.379342 -0.115295 0.000792952
39 9   -0.371451 -0.114233 0.000777239
40 9   -0.303555 -0.111029 0.000646447
41 9   -0.296635 -0.105713 0.000629817
42 9   -0.227429 -0.0982999 0.000495527
43 9   -0.223152 -0.0889286 0.000480439
44 9   -0.154766 -0.0777461 0.000346393
45 9   -0.154678 -0.0649781 0.000335544
46 9   -0.0891098 -0.0507047 0.000205051
47 9   -0.094424 -0.0358276 0.000201985
48 9   -0.033367 -0.0214254 7.93071e-005
49 9   -0.0451762 -0.00970123 9.24121e-005
50 9   0.00933782 -0.00214364 1.91614e-005
1 10   -0.000157103 0.00278999 5.58882e-006
2 10   -0.0346796 0.0118604 7.33032e-005
3 10   -0.0425956 0.0273657 0.000101257
4 10   -0.0844892 0.0457289 0.000192141
5 10   -0.0999875 0.0636944 0.000237103
6 10   -0.146747 0.0800709 0.000334342
7 10   -0.168349 0.0943733 0.000385994
8 10   -0.21763 0.106613 0.000484682
9 10   -0.244053 0.11655 0.00054091
10 10   -0.293603 0.124206 0.000637588
11 10   -0.323382 0.129524 0.000696714
12 10   -0.370894 0.132497 0.0007877
13 10   -0.402594 0.133152 0.000848084
14 10   -0.445954 0.131594 0.000929928
15 10   -0.478111 0.127912 0.000989851
16 10   -0.515361 0.122234 0.00105932
17 10   -0.546637 0.114697 0.00111708
18 10   -0.576105 0.105454 0.00117135
19 10   -0.605242 0.0946547 0.0012252
20 10   -0.625544 0.0824738 0.00126191
21 10   -0.651462 0.0690771 0.00131023
22 10   -0.661539 0.0546509 0.00132759
23 10   -0.683331 0.0393741 0.00136893
24 10   -0.682469 0.0234528 0.00136574
25 10   -0.699456 0.00707699 0.00139898
26 10   -0.687293 -0.00953015 0.00137472
27 10   -0.699052 -0.0261627 0.00139908
28 10   -0.675592 -0.0425798 0.00135386
29 10   -0.681996 -0.0585654 0.00136901
30 10   -0.647621 -0.0738636 0.00130364
31 10   -0.648869 -0.0882498 0.00130968
32 10   -0.604344 -0.101465 0.00122561
33 10   -0.60099 -0.113289 0.00122315
34 10   -0.547463 -0.123468 0.00112243
35 10   -0.540408 -0.131804 0.0011125
36 10   -0.479392 -0.138072 0.000997758
37 10   -0.469894 -0.142111 0.000981827
38 10   -0.403222 -0.143749 0.000856158
39 10   -0.392797 -0.142903 0.000835968
40 10   -0.322577 -0.139469 0.000702872
41 10   -0.312981 -0.133465 0.000680501
42 10   -0.241447 -0.124938 0.000543714
43 10   -0.234471 -0.114031 0.000521459
44 10   -0.163952 -0.100823 0.000384946
45 10   -0.161372 -0.0856841 0.000365419
46 10   -0.0940135 -0.0688004 0.000232998
47 10   -0.0972854 -0.0508662 0.000219562
48 10   -0.0351125 -0.0330813 9.64833e-005
49 10   -0.0456784 -0.0176669 9.79517e-005
50 10   0.00908659 -0.00567326 2.14245e-005
1 11   -0.000395149 0.00482554 9.68339e-006
2 11   -0.0349156 0.0188074 7.93174e-005
3 11   -0.0443003 0.0385567 0.000117459
4 11   -0.0871574 0.0606291 0.000212342
5 11   -0.104734 0.0817959 0.00026578
6 11   -0.152935 0.100956 0.000366503
7 11   -0.177104 0.117648 0.000425239
8 11   -0.228158 0.131789 0.00052697
9 11   -0.257325 0.143207 0.00058898
10 11   -0.308729 0.151923 0.000688168
11 11   -0.341309 0.157844 0.000752082
12 11   -0.390657 0.160998 0.000845064
13 11   -0.425064 0.161434 0.000909375
14 11   -0.4701 0.15926 0.000992689
15 11   -0.504798 0.154589 0.00105588
16 11   -0.543523 0.147576 0.0011264
17 11   -0.577077 0.138377 0.00118687
18 11   -0.607746 0.127174 0.00124182
19 11   -0.638852 0.114144 0.00129794
20 11   -0.660055 0.0994912 0.00133502
21 11   -0.687567 0.0834082 0.00138522
22 11   -0.698214 0.0661173 0.00140267
23 11   -0.721186 0.0478255 0.00144554
24 11   -0.720541 0.0287748 0.00144223
25 11   -0.738251 0.00918762 0.00147662
26 11   -0.725939 -0.0106736 0.00145203
27 11   -0.737931 -0.0305697 0.00147713
28 11   -0.713947 -0.0502176 0.00143142
29 11   -0.72007 -0.0693638 0.00144681
30 11   -0.684792 -0.0877086 0.00138077
31 11   -0.685238 -0.10499 0.00138647
32 11   -0.639436 -0.120901 0.00130153
33 11   -0.634762 -0.135182 0.00129799
34 11   -0.57961 -0.147538 0.00119619
35 11   -0.570758 -0.15773 0.0011843
36 11   -0.507803 -0.165492 0.00106818
37 11   -0.49608 -0.170635 0.00104921
38 11   -0.427239 -0.172952 0.000921837
39 11   -0.414273 -0.172331 0.000897375
40 11   -0.34173 -0.168663 0.000762172
41 11   -0.329393 -0.161949 0.000734105
42 11   -0.25555 -0.152208 0.000594888
43 11   -0.245834 -0.139628 0.000565438
44 11   -0.173158 -0.124305 0.000426311
45 11   -0.168016 -0.10657 0.000397928
46 11   -0.0989162 -0.0867244 0.000263101
47 11   -0.100147 -0.0654738 0.0002393
48 11   -0.0368134 -0.0439499 0.000114662
49 11   -0.04602 -0.0243146 0.000104097
50 11   0.00889581 -0.00733318 2.30574e-005
1 12   -0.000706812 0.00826563 1.65916e-005
2 12   -0.0352534 0.0276669 8.96271e-005
3 12   -0.0460042 0.0521294 0.000139052
4 12   -0.0897156 0.0781804 0.000238001
5 12   -0.109403 0.102789 0.00030023
6 12   -0.159043 0.124964 0.000404527
7 12   -0.185744 0.144121 0.0004702
8 12   -0.238534 0.16021 0.000574685
9 12   -0.270448 0.173136 0.000642242
10 12   -0.323691 0.182862 0.000743543
11 12   -0.359061 0.189304 0.000811815
12 12   -0.410205 0.192539 0.000906288
13 12   -0.447302 0.192622 0.000974028
14 12   -0.493997 0.189672 0.00105832
15 12   -0.53121 0.183833 0.00112424
16 12   -0.571374 0.175287 0.00119531
17 12   -0.607183 0.164212 0.00125799
18 12   -0.639038 0.150819 0.00131319
19 12   -0.672089 0.135316 0.00137115
20 12   -0.694183 0.117935 0.00140826
21 12   -0.72328 0.0988996 0.00146002
22 12   -0.734508 0.078465 0.00147737
23 12   -0.758661 0.0568718 0.00152158
24 12   -0.758268 0.0343929 0.00151809
25 12   -0.776718 0.0112893 0.0015536
26 12   -0.764312 -0.0121404 0.00152882
27 12   -0.776569 -0.0356194 0.00155477
28 12   -0.752133 -0.0588255 0.00150886
29 12   -0.758016 -0.0814604 0.00152476
30 12   -0.721916 -0.103184 0.00145851
31 12   -0.7216 -0.12369 0.00146425
32 12   -0.674608 -0.142625 0.00137904
33 12   -0.668648 -0.159684 0.0013749
34 12   -0.611941 -0.174528 0.00127269
35 12   -0.601304 -0.18687 0.00125934
36 12   -0.536475 -0.196405 0.00114259
37 12   -0.522515 -0.202903 0.00112106
38 12   -0.451531 -0.206122 0.000992707
39 12   -0.435985 -0.205914 0.000964332
40 12   -0.361141 -0.202153 0.00082774
41 12   -0.346003 -0.194831 0.000794173
42 12   -0.269839 -0.183933 0.00065313
43 12   -0.257302 -0.169646 0.000616389
44 12   -0.182472 -0.152135 0.000475146
45 12   -0.174724 -0.13169 0.000437587
46 12   -0.103864 -0.108614 0.000300564
47 12   -0.102964 -0.0837524 0.00026545
48 12   -0.0385619 -0.058159 0.000139564
49 12   -0.0464588 -0.0338009 0.000114907
50 12   0.00861491 -0.0113277 2.84629e-005
1 13   -0.00099285 0.0108622 2.18149e-005
2 13   -0.035554 0.0361698 0.000101437
3 13   -0.0476932 0.0657466 0.000162447
4 13   -0.0922496 0.096193 0.000266556
5 13   -0.114048 0.124593 0.000337818
6 13   -0.16511 0.149977 0.000446114
7 13   -0.194334 0.171785 0.000518753
8 13   -0.248851 0.190015 0.000626203
9 13   -0.283518 0.204533 0.000699188
10 13   -0.338596 0.215313 0.000802513
11 13   -0.376742 0.222329 0.000874905
12 13   -0.429673 0.225656 0.000970649
13 13   -0.46946 0.225363 0.0010415
14 13   -0.517801 0.221609 0.00112646
