29 3   -0.00616221 0.000474346
30 3   -0.00665343 0.000530147
31 3   -0.00706733 0.000643836
32 3   -0.00739955 0.000543638
33 3   -0.00784461 0.00046064
34 3   -0.00831895 0.000587381
35 3   -0.0086569 0.000604263
36 3   -0.0090138 0.000456711
37 3   -0.00948778 0.000473615
38 3   -0.00987547 0.000593281
39 3   -0.0101611 0.000499684
40 3   -0.0105572 0.000388851
41 3   -0.0109857 0.000487698
42 3   -0.0112614 0.000526854
43 3   -0.0115395 0.000371236
44 3   -0.0119416 0.00035228
45 3   -0.0122559 0.000466455
46 3   -0.0124459 0.000398868
47 3   -0.0127403 0.000258576
48 3   -0.0130792 0.000330007
49 3   -0.0132537 0.000386728
50 3   -0.0134097 0.000243299
51 3   -0.013697 0.000180221
52 3   -0.0139051 0.000291253
53 3   -0.0139678 0.000250892
54 3   -0.014124 9.80149e-005
55 3   -0.0143417 0.000129189
56 3   -0.0143924 0.000210876
57 3   -0.0144008 8.36801e-005
58 3   -0.0145454 -1.22494e-005
59 3   -0.0146279 8.1832e-005
60 3   -0.0145494 8.20143e-005
61 3   -0.0145485 -8.03551e-005
62 3   -0.0146274 -8.35331e-005
63 3   -0.0145465 1.18898e-005
64 3   -0.014401 -8.12222e-005
65 3   -0.0143914 -0.000210871
66 3   -0.014342 -0.000131036
67 3   -0.014125 -9.6662e-005
68 3   -0.0139672 -0.000248974
69 3   -0.0139046 -0.000292749
70 3   -0.013698 -0.000180931
71 3   -0.0134101 -0.000240908
72 3   -0.0132528 -0.000386361
73 3   -0.0130795 -0.000331933
74 3   -0.0127414 -0.000257569
75 3   -0.0124457 -0.000396738
76 3   -0.0122554 -0.000467708
77 3   -0.0119425 -0.000353301
78 3   -0.0115401 -0.000368984
79 3   -0.0112608 -0.000526124
80 3   -0.0109859 -0.000489652
81 3   -0.0105582 -0.000388193
82 3   -0.0101612 -0.000497412
83 3   -0.00987512 -0.000594239
84 3   -0.00948852 -0.000474923
85 3   -0.00901465 -0.000454628
86 3   -0.00865672 -0.000603206
87 3   -0.00831907 -0.000589288
88 3   -0.00784561 -0.000460352
89 3   -0.00740007 -0.000541245
90 3   -0.00706721 -0.000644497
91 3   -0.00665402 -0.000531677
92 3   -0.00616323 -0.000472481
93 3   -0.00578684 -0.000608238
94 3   -0.00544082 -0.00060295
95 3   -0.00497758 -0.000462507
96 3   -0.00454708 -0.000505903
97 3   -0.00423293 -0.000609335
98 3   -0.00385268 -0.000497574
99 3   -0.00340904 -0.000415317
100 3   -0.00308412 -0.000521978
101 3   -0.00279873 -0.000522725
102 3   -0.00240927 -0.000373611
103 3   -0.00206321 -0.000390129
104 3   -0.00184118 -0.000473354
105 3   -0.00156371 -0.000368921
106 3   -0.00123097 -0.000271552
107 3   -0.00102831 -0.000351444
108 3   -0.000876607 -0.000340185
109 3   -0.000624671 -0.000200888
110 3   -0.000419569 -0.00019983
111 3   -0.000356716 -0.000257302
112 3   -0.000245472 -0.000154077
113 3   -6.49997e-005 -7.53238e-005
114 3   -2.31972e-005 -0.000140458
115 3   -5.67671e-005 -0.000105031
116 3   3.10784e-005 4.04752e-007
117 3   9.35663e-005 -4.62048e-005
118 3   -3.84748e-005 -0.00012319
119 3   -9.67446e-005 0.000110717
120 3   -1.34678e-005 7.46429e-005
1 4   -3.09441e-005 -1.12204e-005
2 4   -0.000100123 -3.50985e-005
3 4   -2.64234e-005 -5.06988e-005
4 4   6.90983e-005 1.11602e-005
5 4   3.77782e-006 0.000164956
6 4   -5.63103e-005 0.000119551
7 4   -5.70071e-005 0.00014112
8 4   -0.000185709 0.000259469
9 4   -0.000375047 0.000335788
10 4   -0.000459062 0.000320108
11 4   -0.000622454 0.000407404
12 4   -0.000952604 0.000511925
13 4   -0.00119216 0.000535273
14 4   -0.00137008 0.000553812
15 4   -0.00175497 0.000665455
16 4   -0.00218835 0.000716332
17 4   -0.00244778 0.000717015
18 4   -0.00279908 0.000773458
19 4   -0.00335674 0.000863746
20 4   -0.00378831 0.000858377
21 4   -0.00411055 0.000872769
22 4   -0.00465883 0.00094591
23 4   -0.00526938 0.000982177
24 4   -0.00566148 0.0009498
25 4   -0.00611318 0.000994882
26 4   -0.00679366 0.00104629
27 4   -0.00734519 0.0010271
28 4   -0.00773754 0.00100568
29 4   -0.00833905 0.00106692
30 4   -0.00902924 0.00106601
31 4   -0.00948021 0.00102018
32 4   -0.00993935 0.00102929
33 4   -0.0106323 0.00107179
34 4   -0.0112202 0.00101648
35 4   -0.0116055 0.000982176
36 4   -0.0121599 0.00101053
37 4   -0.0128325 0.0010043
38 4   -0.0132712 0.000921843
39 4   -0.0136567 0.000920759
40 4   -0.0142658 0.000935756
41 4   -0.0148116 0.000876611
42 4   -0.0151264 0.000805061
43 4   -0.0155518 0.000829407
44 4   -0.016124 0.000800529
45 4   -0.0164902 0.000712907
46 4   -0.0167422 0.000676761
47 4   -0.0171907 0.000696366
48 4   -0.0176307 0.000615886
49 4   -0.0178283 0.000537219
50 4   -0.0180675 0.000533369
51 4   -0.0184749 0.000516579
52 4   -0.0187244 0.000404767
53 4   -0.0188049 0.000362806
54 4   -0.019041 0.000364437
55 4   -0.0193282 0.000298719
56 4   -0.0193812 0.000191755
57 4   -0.0194021 0.000189057
58 4   -0.0196027 0.000163598
59 4   -0.0197081 6.36948e-005
60 4   -0.0196023 -7.24391e-006
61 4   -0.0195996 6.77518e-006
62 4   -0.0197064 -6.35199e-005
63 4   -0.0196061 -0.000163684
64 4   -0.0194024 -0.000189673
65 4   -0.0193778 -0.000191909
66 4   -0.0193294 -0.00029851
67 4   -0.0190442 -0.000364851
68 4   -0.0188027 -0.000363311
69 4   -0.0187224 -0.000404635
70 4   -0.0184782 -0.000516579
71 4   -0.0180684 -0.000533978
72 4   -0.017825 -0.000537418
73 4   -0.0176315 -0.000615669
74 4   -0.0171941 -0.000696678
75 4   -0.0167406 -0.000677319
76 4   -0.016488 -0.000712787
77 4   -0.0161271 -0.000800474
78 4   -0.0155533 -0.000829939
79 4   -0.0151234 -0.000805356
80 4   -0.0148119 -0.000876336
81 4   -0.0142693 -0.000935999
82 4   -0.0136557 -0.000921289
83 4   -0.0132689 -0.000921819
84 4   -0.0128352 -0.0010041
85 4   -0.0121619 -0.00101103
86 4   -0.0116028 -0.000982486
87 4   -0.0112201 -0.00101625
88 4   -0.0106359 -0.00107183
89 4   -0.009939 -0.00102988
90 4   -0.00947787 -0.00102017
91 4   -0.00903171 -0.00106576
92 4   -0.00834159 -0.0010672
93 4   -0.00773537 -0.00100615
94 4   -0.00734491 -0.00102678
95 4   -0.00679739 -0.00104619
96 4   -0.00611346 -0.000995325
97 4   -0.0056593 -0.000950001
98 4   -0.0052717 -0.000981644
99 4   -0.0046619 -0.00094606
100 4   -0.00410889 -0.000873215
101 4   -0.00378801 -0.0008582
102 4   -0.00336072 -0.000863107
103 4   -0.00280009 -0.000773915
104 4   -0.00244583 -0.000717241
105 4   -0.0021909 -0.000715654
106 4   -0.00175879 -0.000664843
107 4   -0.00136902 -0.000554598
108 4   -0.00119209 -0.000534826
109 4   -0.000957573 -0.000510591
110 4   -0.000624416 -0.000407063
111 4   -0.000457421 -0.000321022
112 4   -0.000378602 -0.000333564
113 4   -0.000191594 -0.000257468
114 4   -5.6275e-005 -0.00014146
115 4   -5.60668e-005 -0.00011961
116 4   -3.52112e-006 -0.000158209
117 4   6.48312e-005 -1.05227e-005
118 4   -1.99939e-005 4.75515e-005
119 4   -9.51108e-005 3.01546e-005
120 4   -3.20244e-005 1.09129e-005
1 5   4.34295e-005 -2.76997e-005
2 5   0.000109925 -3.67532e-005
3 5   3.71613e-005 -6.83035e-005
4 5   -9.44925e-005 4.36152e-005
5 5   -4.79532e-005 0.000159997
6 5   -3.3891e-005 0.000137995
7 5   -0.000218603 0.000253799
8 5   -0.000366199 0.00041261
9 5   -0.000438723 0.000448936
10 5   -0.00067699 0.000488874
11 5   -0.00100254 0.000681868
12 5   -0.00121684 0.000783462
13 5   -0.00149271 0.000775504
14 5   -0.00194819 0.000896862
15 5   -0.00234884 0.00107924
16 5   -0.002681 0.00108064
17 5   -0.00318574 0.00109525
18 5   -0.00376333 0.00127201
19 5   -0.00420622 0.00136258
20 5   -0.00470679 0.00130157
21 5   -0.00538522 0.00138657
22 5   -0.00598577 0.00154494
23 5   -0.0064918 0.00151838
24 5   -0.00716896 0.00147129
25 5   -0.00791084 0.00161356
26 5   -0.00848627 0.00167883
27 5   -0.0090979 0.00157797
28 5   -0.00989094 0.00159971
29 5   -0.0105886 0.00173374
30 5   -0.0111553 0.00167962
31 5   -0.0118831 0.00158212
32 5   -0.0126808 0.00166908
33 5   -0.0132818 0.00172272
34 5   -0.013886 0.00158574
35 5   -0.0146768 0.00155193
36 5   -0.0153704 0.00164832
37 5   -0.015891 0.0015894
38 5   -0.0165546 0.00144215
39 5   -0.0173045 0.00148024
40 5   -0.0178387 0.00151745
41 5   -0.0183323 0.00137054
42 5   -0.0190175 0.00127649
43 5   -0.0196196 0.00134424
44 5   -0.0200101 0.00128292
45 5   -0.020514 0.0011105
46 5   -0.0211297 0.00109085
47 5   -0.0215259 0.00112619
48 5   -0.0218323 0.000975557
49 5   -0.0223292 0.00084126
50 5   -0.0227736 0.000870566
51 5   -0.0229758 0.000827804
52 5   -0.0232525 0.000636016
53 5   -0.023669 0.000573874
54 5   -0.0238801 0.000600116
55 5   -0.0239523 0.000471462
56 5   -0.0242054 0.000299013
57 5   -0.0244475 0.000302485
58 5   -0.0244313 0.000275766
59 5   -0.0244436 9.18959e-005
60 5   -0.0246212 -1.56617e-005
61 5   -0.0246237 1.46111e-005
62 5   -0.0244451 -8.97634e-005
63 5   -0.0244283 -0.000274887
64 5   -0.0244473 -0.000304298
65 5   -0.0242086 -0.000298508
66 5   -0.0239514 -0.000469182
67 5   -0.0238775 -0.000600853
68 5   -0.0236712 -0.000575193
69 5   -0.0232545 -0.000634097
70 5   -0.0229732 -0.000826571
71 5   -0.022773 -0.000872315
72 5   -0.0223324 -0.000841124
73 5   -0.0218321 -0.000973211
74 5   -0.0215233 -0.00112658
75 5   -0.0211314 -0.0010924
76 5   -0.0205163 -0.00110883
77 5   -0.020008 -0.00128139
78 5   -0.0196187 -0.00134584
79 5   -0.0190204 -0.00127673
80 5   -0.0183326 -0.00136817
81 5   -0.0178364 -0.0015175
82 5   -0.0173057 -0.00148191
83 5   -0.0165571 -0.00144078
84 5   -0.0158896 -0.00158759
85 5   -0.0153694 -0.00164976
86 5   -0.0146794 -0.00155245
87 5   -0.0138869 -0.00158342
88 5   -0.01328 -0.00172241
89 5   -0.0126816 -0.00167086
90 5   -0.0118855 -0.00158097
91 5   -0.0111547 -0.00167763
92 5   -0.0105876 -0.00173495
93 5   -0.00989309 -0.00160052
94 5   -0.00909932 -0.00157563
95 5   -0.00848514 -0.00167825
96 5   -0.00791136 -0.00161532
97 5   -0.00717142 -0.00147038
98 5   -0.00649208 -0.0015161
99 5   -0.00598507 -0.001546
100 5   -0.00538702 -0.00138748
101 5   -0.0047088 -0.00129923
102 5   -0.00420584 -0.00136157
103 5   -0.0037637 -0.00127387
104 5   -0.00318829 -0.00109426
105 5   -0.00268229 -0.00107804
106 5   -0.00234845 -0.00107995
107 5   -0.00194984 -0.00089797
108 5   -0.00149554 -0.000772522
109 5   -0.00121738 -0.000781999
110 5   -0.0010027 -0.000683457
111 5   -0.00068007 -0.000487754
112 5   -0.000441197 -0.000444728
113 5   -0.00036554 -0.000413046
114 5   -0.000219801 -0.000254367
115 5   -3.83021e-005 -0.000134091
116 5   -4.75333e-005 -0.000155457
117 5   -8.97028e-005 -4.74829e-005
118 5   3.59926e-005 6.71528e-005
119 5   0.000104618 3.97019e-005
120 5   4.09388e-005 2.23251e-005
1 6   -1.48512e-005 -6.60304e-005
2 6   -1.68266e-005 -7.3558e-005
3 6   -2.95878e-005 9.14048e-005
