#k solution exact absolute_error relative_error
0 9.99 10  -0.01 -0.001
0.171 8.41907 7.10287  1.31619 0.185304
0.172 8.41065 7.08868  1.32197 0.18649
0.173 8.40224 7.07451  1.32772 0.187677
0.174 8.39384 7.06037  1.33346 0.188866
0.175 8.38544 7.04626  1.33918 0.190055
0.176 8.37706 7.03218  1.34487 0.191246
0.177 8.36868 7.01813  1.35055 0.192437
0.178 8.36031 7.0041  1.35621 0.19363
0.179 8.35195 6.9901  1.36185 0.194825
0.18 8.3436 6.97613  1.36746 0.19602
0.181 8.33525 6.96219  1.37306 0.197217
0.182 8.32692 6.94828  1.37864 0.198415
0.183 8.31859 6.93439  1.3842 0.199614
0.184 8.31027 6.92053  1.38974 0.200814
0.185 8.30196 6.9067  1.39526 0.202015
0.186 8.29366 6.8929  1.40076 0.203218
0.187 8.28537 6.87913  1.40624 0.204422
0.188 8.27708 6.86538  1.4117 0.205627
0.189 8.26881 6.85166  1.41715 0.206833
0.19 8.26054 6.83796  1.42257 0.20804
0.191 8.25228 6.8243  1.42798 0.209249
0.192 8.24402 6.81066  1.43336 0.210459
0.193 8.23578 6.79705  1.43873 0.21167
0.194 8.22754 6.78346  1.44408 0.212882
0.195 8.21932 6.76991  1.44941 0.214096
0.196 8.2111 6.75638  1.45472 0.21531
0.197 8.20289 6.74288  1.46001 0.216526
0.198 8.19468 6.7294  1.46528 0.217743
0.199 8.18649 6.71595  1.47054 0.218962
0.2 8.1783 6.70253  1.47577 0.220181
0.201 8.17012 6.68913  1.48099 0.221402
0.202 8.16195 6.67577  1.48619 0.222624
0.203 8.15379 6.66242  1.49137 0.223847
0.204 8.14564 6.64911  1.49653 0.225072
0.205 8.13749 6.63582  1.50167 0.226298
0.206 8.12935 6.62256  1.50679 0.227524
0.207 8.12123 6.60932  1.5119 0.228753
0.208 8.1131 6.59612  1.51699 0.229982
0.209 8.10499 6.58293  1.52206 0.231213
0.21 8.09689 6.56978  1.52711 0.232444
0.211 8.08879 6.55665  1.53214 0.233677
0.212 8.0807 6.54354  1.53716 0.234912
0.213 8.07262 6.53047  1.54215 0.236147
0.214 8.06455 6.51742  1.54713 0.237384
0.215 8.05648 6.50439  1.55209 0.238622
0.216 8.04843 6.49139  1.55703 0.239861
0.217 8.04038 6.47842  1.56196 0.241102
0.218 8.03234 6.46547  1.56686 0.242343
0.219 8.0243 6.45255  1.57175 0.243586
0.22 8.01628 6.43966  1.57663 0.244831
0.221 8.00826 6.42679  1.58148 0.246076
0.222 8.00026 6.41394  1.58631 0.247323
0.223 7.99226 6.40112  1.59113 0.248571
0.224 7.98426 6.38833  1.59593 0.24982
0.225 7.97628 6.37556  1.60072 0.25107
0.226 7.9683 6.36282  1.60548 0.252322
0.227 7.96033 6.35011  1.61023 0.253575
0.228 7.95237 6.33742  1.61496 0.254829
0.229 7.94442 6.32475  1.61967 0.256085
0.23 7.93648 6.31211  1.62437 0.257341
0.231 7.92854 6.2995  1.62905 0.258599
0.232 7.92061 6.28691  1.63371 0.259859
0.233 7.91269 6.27434  1.63835 0.261119
0.234 7.90478 6.2618  1.64298 0.262381
0.235 7.89687 6.24929  1.64759 0.263644
0.236 7.88898 6.2368  1.65218 0.264908
0.237 7.88109 6.22433  1.65675 0.266174
0.238 7.87321 6.2119  1.66131 0.26744
0.239 7.86533 6.19948  1.66585 0.268709
0.24 7.85747 6.18709  1.67038 0.269978
0.241 7.84961 6.17473  1.67489 0.271249
0.242 7.84176 6.16239  1.67938 0.27252
0.243 7.83392 6.15007  1.68385 0.273794
0.244 7.82609 6.13778  1.68831 0.275068
